text,label
I don't want to cancel the appointment anymore,OTHER
i don't want to cancel the appointment anymore,OTHER
"Hey, I don't want to cancel the appointment anymore",OTHER
"I don't want to cancel the appointment anymore, thanks",OTHER
"Actually, I don't want to cancel the appointment anymore",OTHER
"So, I don't want to cancel the appointment anymore",OTHER
"Just to confirm, I don't want to cancel the appointment anymore",OTHER
"Sorry, I don't want to cancel the appointment anymore",OTHER
"No, I don't want to cancel the appointment anymore",OTHER
"Wait, I don't want to cancel the appointment anymore",OTHER
I am not interested in cancelling my appointment,OTHER
i am not interested in cancelling my appointment,OTHER
"Hey, I am not interested in cancelling my appointment",OTHER
"I am not interested in cancelling my appointment, thanks",OTHER
"Actually, I am not interested in cancelling my appointment",OTHER
"So, I am not interested in cancelling my appointment",OTHER
"Just to confirm, I am not interested in cancelling my appointment",OTHER
"Sorry, I am not interested in cancelling my appointment",OTHER
"No, I am not interested in cancelling my appointment",OTHER
"Wait, I am not interested in cancelling my appointment",OTHER
"I changed my mind, I want to keep my appointment",OTHER
"i changed my mind, i want to keep my appointment",OTHER
"Hey, I changed my mind, I want to keep my appointment",OTHER
"I changed my mind, I want to keep my appointment, thanks",OTHER
"Actually, I changed my mind, I want to keep my appointment",OTHER
"So, I changed my mind, I want to keep my appointment",OTHER
"Just to confirm, I changed my mind, I want to keep my appointment",OTHER
"Sorry, I changed my mind, I want to keep my appointment",OTHER
"No, I changed my mind, I want to keep my appointment",OTHER
"Wait, I changed my mind, I want to keep my appointment",OTHER
Let’s not cancel the appointment,OTHER
let’s not cancel the appointment,OTHER
"Hey, Let’s not cancel the appointment",OTHER
"Let’s not cancel the appointment, thanks",OTHER
"Actually, Let’s not cancel the appointment",OTHER
"So, Let’s not cancel the appointment",OTHER
"Just to confirm, Let’s not cancel the appointment",OTHER
"Sorry, Let’s not cancel the appointment",OTHER
"No, Let’s not cancel the appointment",OTHER
"Wait, Let’s not cancel the appointment",OTHER
"Actually, keep the appointment as is",OTHER
"actually, keep the appointment as is",OTHER
"Hey, Actually, keep the appointment as is",OTHER
