text,label
"I'd like to sch;edule an appointment",APPT_NEW
"I want to scheduel a new appointment pls",APPT_NEW
"can I maek a new appointmnt for next week?",APPT_NEW
"I wanna skedule an appointmetn for June 5",APPT_NEW
"need to set up a new appoinment asap",APPT_NEW
"Could I scedule an appointmant?",APPT_NEW
"I need to scheduel a new appt",APPT_NEW
"I'd like to make a oppointment for tomorrow",APPT_NEW
"can u help me shedule an apointment?",APPT_NEW
"I want to bookk a new appointment today",APPT_NEW
"plz help me schedul a appointmnt",APPT_NEW
"I need to bok an appoinment for friday",APPT_NEW
"can I set up a appt for Octber 9th?",APPT_NEW
"I want to mak a new appointment",APPT_NEW
"I'd lik to schedule smething for tomorrow",APPT_NEW
"help me schdule and appointment please",APPT_NEW
"I need to make a new appointmnt",APPT_NEW
"can you schedul me for June 9?",APPT_NEW
"want to schdule an appointmet",APPT_NEW
"I’d like to bok a new appt",APPT_NEW
"can I shedule a checkup for monday?",APPT_NEW
"I want to schedual an appointment asap",APPT_NEW
"I need to scedule somthing for next tuesday",APPT_NEW
"can u bookk me in for a appointment",APPT_NEW
"I want to set up a new apointmnt",APPT_NEW
"I’d like to create a new apointment",APPT_NEW
"can I scheudle an appt for 3pm?",APPT_NEW
"I need to scedue a appointment for tomorrow",APPT_NEW
"pls help me scheule an appt",APPT_NEW
"I want to scheduleee something",APPT_NEW
"I’d like to shedule a visit",APPT_NEW
"need to set a appointmnt up",APPT_NEW
"can i book an appointent",APPT_NEW
"I want to schdule a new visit",APPT_NEW
"I wanna mak an appointment soon",APPT_NEW
"I’d like to schedle something for monday",APPT_NEW
"can u schedul my appointment",APPT_NEW
"I want to scehdule a new appt pls",APPT_NEW
"need to bok a appointment for 10am",APPT_NEW
"help me set a new appointmet",APPT_NEW
"I’d like to schedule a anual checkup",APPT_NEW
"can you bokk me a new appointment",APPT_NEW
"I want to set a new apppointment",APPT_NEW
"plz schedlue me for next week",APPT_NEW
"I’d like to scedule an appt for the 15th",APPT_NEW
"need to schedule a appointmnt soon",APPT_NEW
"I wanna boook an appoinment",APPT_NEW
"can you help me scedual something",APPT_NEW
"I’d like to schdule a new time",APPT_NEW
"i want to skeduele a visit today",APPT_NEW
"help me mak a new appt",APPT_NEW
"need to set a apoinment for next week",APPT_NEW
"I want to schdule a 12pm appointment",APPT_NEW
"can u scedule something for tomorow",APPT_NEW
"I’d like to book a new appt pls",APPT_NEW
"I want to scheduel my appointment now",APPT_NEW
"need to make a appt for 3pm",APPT_NEW
"pls help me bok an appointment",APPT_NEW
"I wanna schedulee a checkup",APPT_NEW
"can i set a new opointment up",APPT_NEW
"I want to schedule smeeting for friday",APPT_NEW
"I’d like to schedule a appointmet for next Tue",APPT_NEW
"help me scehdule something",APPT_NEW
"need to bokc a new appoinment",APPT_NEW
"I wanna schedul a new time asap",APPT_NEW
"I want to scedule an appt for noon",APPT_NEW
"I’d like to bookk a check-up",APPT_NEW
"can I scehdule a new appointment?",APPT_NEW
"need to set upa new appt",APPT_NEW
"I wanna set a appoinment for Wednsday",APPT_NEW
"I’d like to schedule a 1pm visit",APPT_NEW
"can you scheulde an appointment",APPT_NEW
"I want to mkae a new appointment for tomorrow",APPT_NEW
"need to bok an appt",APPT_NEW
"I’d like to schdule a new appointmant",APPT_NEW
"I want to shedule my appt soon",APPT_NEW
"pls help me skedule something",APPT_NEW
"can I mak a appointment for july 2",APPT_NEW
"I want to bok an appointmnt for next week",APPT_NEW
"I’d like to scedual a new appointment",APPT_NEW
"need to schedulee a new apointment",APPT_NEW
"can u book a appt for friday",APPT_NEW
"I want to shedule a meeting for 10am",APPT_NEW
"I’d like to scehdule a appointment",APPT_NEW
"help me bokk a new appt",APPT_NEW
"I want to scedule a new apintment",APPT_NEW
"need to makee an appointment",APPT_NEW
"pls help me scheduale something",APPT_NEW
"I want to skedule a check up",APPT_NEW
"I’d like to set a new appointmnt today",APPT_NEW
"can you scehdule me for friday?",APPT_NEW
"I want to bok a 3pm appt",APPT_NEW
"i need to scheduel a new appt soon",APPT_NEW
"I’d like to schdule a followup",APPT_NEW
"need to boook an apointment",APPT_NEW
"can I sche ode a appintment",APPT_NEW
"I want to scheduel a 4pm slot",APPT_NEW
"I’d like to mak an apointment",APPT_NEW
