text,label
"Wait, that's not gonna work. Can we try 930 instead?",REJECT
"Wait never mind, let's move it to 3:30pm",REJECT
I don't want that time. 11:30am works though.,REJECT
"That time won’t work, but 5pm does.",REJECT
Oops not that. 4pm.,REJECT
Not that day. Let's do this coming Wednesday.,REJECT
I don't want that time. 12:30pm works though.,REJECT
wait I cant do that. I'm free next Tuesday at 5:00 PM,REJECT
"no, make it 130",REJECT
Is it okay if we do 430 instead?,REJECT
That one doesn’t work for me anymore. 1pm please.,REJECT
actually let’s do 830 instead,REJECT
Actually can we change it to 10am?,REJECT
Actually can we change it to 1230?,REJECT
"That time won’t work, but 11am does.",REJECT
I don't want that time. 8am works though.,REJECT
Is it okay if we do 1:30pm instead?,REJECT
"not that time, do 1230",REJECT
"never mind, can't do that. Let's do 830 instead.",REJECT
"Actually I meant 11am, not that one.",REJECT
"Actually, let's push it to 430",REJECT
wait I cant do that. I'm free this Thursday at 10am,REJECT
"That time won’t work, but 3pm does.",REJECT
Can we change that? 4:30pm is better.,REJECT
Actually can we change it to 2pm?,REJECT
"Nope, can't do that. Can we try 1130?",REJECT
"Scratch that, 9am works better.",REJECT
"actually, is it cool if we do next Wednesday instead of this one?",REJECT
Wait a sec that doesn't work for me actually. 8am is better,REJECT
Actually can we do 1pm instead?,REJECT
"Never mind, I want this coming Wednesday",REJECT
"actually, is it cool if we do next Friday instead of this one?",REJECT
Hold up I can't actually do that. How about 11:30am?,REJECT
"not that time, do 930",REJECT
That one doesn’t work for me anymore. 230 please.,REJECT
Actually can we change it to 4pm?,REJECT
Wait a sec that doesn't work for me actually. 11:30am is better,REJECT
I don't want that time. 1pm works though.,REJECT
"no, make it 3:30pm",REJECT
Wait a sec that doesn't work for me actually. 330 is better,REJECT
Actually can we do 10am instead?,REJECT
Actually can we change it to 1030?,REJECT
Hold up I can't actually do that. How about 2:30pm?,REJECT
Hold up I can't actually do that. How about 2:30pm?,REJECT
"Wait, that's not gonna work. Can we try 11:30am instead?",REJECT
"Wait never mind, let's move it to 5pm",REJECT
"actually, is it cool if we do this Friday instead of this one?",REJECT
"Wait, that's not gonna work. Can we try 5pm instead?",REJECT
"Actually I meant 830, not that one.",REJECT
"Wait, I actually want to do next Tuesday",REJECT
Oops not that. 12pm.,REJECT
Wait a sec that doesn't work for me actually. 1030 is better,REJECT
Is it okay if we do 11:30am instead?,REJECT
Actually can we do 1pm instead?,REJECT
"Wait, that's not gonna work. Can we try 3pm instead?",REJECT
Wait a sec that doesn't work for me actually. 2pm is better,REJECT
"Scratch that, 4:30pm works better.",REJECT
Is it okay if we do 1230 instead?,REJECT
Not that day. Let's do this Friday.,REJECT
"Nope, can't do that. Can we try 9:30?",REJECT
wait I cant do that. I'm free this Thursday at 1pm,REJECT
"Wait, actually I need 11am instead.",REJECT
Is it okay if we do 8am instead?,REJECT
Can we change that? 330 is better.,REJECT
"Wait, actually I need 9am instead.",REJECT
"Actually, let's push it to 12:30pm",REJECT
actually let’s do 3:30pm instead,REJECT
I don't want that time. 3:30pm works though.,REJECT
Actually can we change it to 3pm?,REJECT
Oops not that. 430.,REJECT
I need a different time. How about 5pm?,REJECT
uhh that's actually not gonna work for me. What's available on next Friday?,REJECT
"not that time, do 12pm",REJECT
Wait a sec that doesn't work for me actually. 1:30pm is better,REJECT
Wait a sec that doesn't work for me actually. 9am is better,REJECT
I don't want that time. 5:00 PM works though.,REJECT
Is it okay if we do 5:00 PM instead?,REJECT
Actually can we do 11:30am instead?,REJECT
wait I cant do that. I'm free this Friday at 1030,REJECT
"Wait, actually I need 2:30pm instead.",REJECT
"Actually I meant 1230, not that one.",REJECT
Actually can we change it to 11am?,REJECT
"actually, is it cool if we do next week instead of this one?",REJECT
