text,label
Find all available times for next friday.,SEARCH_AVAILABILITY
Look up availability for saturday.,SEARCH_AVAILABILITY
Show open booking times for thursday.,SEARCH_AVAILABILITY
Could you tell me what appointment times are open for November 5th?,SEARCH_AVAILABILITY
Pull up appointment times for December 9th.,SEARCH_AVAILABILITY
Find all available times for July 2nd.,SEARCH_AVAILABILITY
Look up availability for next tuesday.,SEARCH_AVAILABILITY
"Tell me the appointment availability on April 18th, 2026.",SEARCH_AVAILABILITY
Can you check what appointment times are available on October 5th?,SEARCH_AVAILABILITY
"Could you tell me what appointment times are open for August 19th, 2026?",SEARCH_AVAILABILITY
Show me the available appointment times on tuesday.,SEARCH_AVAILABILITY
"Please check availability on April 21st, 2025.",SEARCH_AVAILABILITY
Please show appointment availability for monday.,SEARCH_AVAILABILITY
Tell me what times I can book an appointment on October 27th.,SEARCH_AVAILABILITY
I'd like to know what times are open for next tuesday.,SEARCH_AVAILABILITY
"Can you look up available appointments for March 6th, 2025?",SEARCH_AVAILABILITY
Could you tell me what appointment times are open for monday?,SEARCH_AVAILABILITY
What are the available booking times for next monday?,SEARCH_AVAILABILITY
I want to see open appointment times on monday.,SEARCH_AVAILABILITY
I'd like to know what times are open for February 5th.,SEARCH_AVAILABILITY
Look up availability for July 25th.,SEARCH_AVAILABILITY
Pull up appointment times for November 15th.,SEARCH_AVAILABILITY
I'd like to know what times are open for October 23rd.,SEARCH_AVAILABILITY
I want to see open appointment times on next tuesday.,SEARCH_AVAILABILITY
"I'd like to know what times are open for April 16th, 2025.",SEARCH_AVAILABILITY
I'd like to know what times are open for thursday.,SEARCH_AVAILABILITY
"Show open booking times for October 21st, 2026.",SEARCH_AVAILABILITY
"Show available time slots for August 17th, 2026.",SEARCH_AVAILABILITY
"Find all available times for April 2nd, 2026.",SEARCH_AVAILABILITY
I'd like to book something—what times are open tuesday?,SEARCH_AVAILABILITY
"Look up availability for October 26th, 2025.",SEARCH_AVAILABILITY
What are the available booking times for next thursday?,SEARCH_AVAILABILITY
Can you check what appointment times are available on next friday?,SEARCH_AVAILABILITY
"Show me the available appointment times on December 25th, 2025.",SEARCH_AVAILABILITY
Check available appointments on thursday.,SEARCH_AVAILABILITY
"Tell me what times I can book an appointment on February 11th, 2025.",SEARCH_AVAILABILITY
I'd like to see available times on December 2nd.,SEARCH_AVAILABILITY
Please find open appointments for next saturday.,SEARCH_AVAILABILITY
What times are available for appointments on next saturday?,SEARCH_AVAILABILITY
What are the available booking times for May 12th?,SEARCH_AVAILABILITY
"Can you list the available appointment slots for April 3rd, 2025?",SEARCH_AVAILABILITY
"Can you list the available appointment slots for January 9th, 2025?",SEARCH_AVAILABILITY
"I'd like to book something—what times are open November 10th, 2026?",SEARCH_AVAILABILITY
Can you list the available appointment slots for next saturday?,SEARCH_AVAILABILITY
Look up availability for next saturday.,SEARCH_AVAILABILITY
I need to check available times for saturday.,SEARCH_AVAILABILITY
Can you pull up the schedule for next tuesday?,SEARCH_AVAILABILITY
"I'd like to book something—what times are open July 21st, 2026?",SEARCH_AVAILABILITY
I'd like to book something—what times are open next wednesday?,SEARCH_AVAILABILITY
"Please check availability on June 16th, 2026.",SEARCH_AVAILABILITY
Show available time slots for September 9th.,SEARCH_AVAILABILITY
Show available time slots for December 27th.,SEARCH_AVAILABILITY
Show open booking times for next tuesday.,SEARCH_AVAILABILITY
Please show appointment availability for next monday.,SEARCH_AVAILABILITY
Look up availability for wednesday.,SEARCH_AVAILABILITY
I'd like to know what times are open for next saturday.,SEARCH_AVAILABILITY
