text,label
Huh can you schedule me in at 6pm? if possible,STAY_APPT
can you schedule me earlier in the day,STAY_APPT
Schedule that meeting for 8:30a.m. whenever you can,STAY_APPT
uhh please schedule my meeting for monday when available!,STAY_APPT
uhh can you schedule me a slot for tuesday,STAY_APPT
oh i’d like to be scheduled for 2pm,STAY_APPT
schedule this appointment around 9a.m..,STAY_APPT
maybe schedule it for next thursday.,STAY_APPT
...my appointment should be scheduled on a work day,STAY_APPT
can you schedule my appointment next month soon.,STAY_APPT
"uh set up my appointment on october 10, 8p.m.",STAY_APPT
...hmm schedule me at 10 a.m. soon,STAY_APPT
schedule me for an afternoon slot please!,STAY_APPT
huh schedule that visit for thursday if possible,STAY_APPT
hmm can you schedule my appointment next month,STAY_APPT
Schedule that visit for thursday if possible today,STAY_APPT
uhh let’s book me for later this week haha,STAY_APPT
please schedule it for a later date haha.,STAY_APPT
schedule the appointment next week thanks!,STAY_APPT
set up my checkup for october 18th thanks,STAY_APPT
can you set up my appointment next month thanks,STAY_APPT
please schedule my appointment at a different time soon,STAY_APPT
hm schedule me for a monday at noon!,STAY_APPT
uh schedule me sometime next week,STAY_APPT
could you schedule me for october 22nd,STAY_APPT
schedule that meeting for 8:30a.m.,STAY_APPT
uh set up me for an afternoon slot please,STAY_APPT
hmm set up me a time slot for 8a.m tomorrow,STAY_APPT
can you schedule me in at 6pm?.,STAY_APPT
hmm can you set up me in at 6pm?,STAY_APPT
oh please schedule my meeting for monday!,STAY_APPT
schedule me a time slot for 8a.m tomorrow.,STAY_APPT
Oh please schedule me for this weekend,STAY_APPT
Schedule the appointment next week if possible,STAY_APPT
...hmm can you schedule my appointment next month,STAY_APPT
uh i want my appointment bookd for monday,STAY_APPT
hm schedule my visit for wednesday afternoon.,STAY_APPT
i want to be scheduled on a tuesday,STAY_APPT
please set my appt for 9 a.m.,STAY_APPT
...oh schedule my visit for wednesday afternoon,STAY_APPT
huh schedule me a time slot for 8a.m tomorrow!,STAY_APPT
hm set up my visit for wednesday afternoon haha,STAY_APPT
uh schedule it for this friday morning whenever you can,STAY_APPT
can you schedule my appointment next month for real.,STAY_APPT
huh please book it for a later date,STAY_APPT
can you please set up my appointment this week,STAY_APPT
huh schedule it for this friday morning haha.,STAY_APPT
huh schedule me at noon on october 12.,STAY_APPT
set up me at noon on october 12,STAY_APPT
schedule my next appointment at 4pm!,STAY_APPT
...let’s schedule something next week,STAY_APPT
uh schedule me sometime next week,STAY_APPT
hm can we schedule that appointment now?,STAY_APPT
could you schedule me for october 22nd,STAY_APPT
hm please book my follow-up visit,STAY_APPT
...uhh please schedule my meeting for monday now,STAY_APPT
please schedule my session for wednesday afternoon,STAY_APPT
i’d like my appointment bookd soon whenever you can,STAY_APPT
hmm book that meeting for 8:30a.m.,STAY_APPT
set up it at 5 p.m.,STAY_APPT
maybe book it for next thursday thanks,STAY_APPT
oh hm maybe schedule me at a later date then soon!,STAY_APPT
...please schedule my follow-up visit haha,STAY_APPT
please set my appt for 9 a.m.,STAY_APPT
schedule me at noon on october 12,STAY_APPT
can we schedule that appointment now? haha!,STAY_APPT
Please schedule my meeting for monday,STAY_APPT
schedule me for an afternoon slot please when available.,STAY_APPT
schedule it for this friday morning!,STAY_APPT
Hm maybe schedule it for next thursday when available,STAY_APPT
oh please book it for a later date,STAY_APPT
...schedule that visit for thursday if possible,STAY_APPT
uh schedule that visit for thursday if possible soon,STAY_APPT
Please schedule me for tomorrow haha!,STAY_APPT
...uhh i want my appointment scheduled for monday,STAY_APPT
let’s schedule me for later this week for real.,STAY_APPT
please set up my session for wednesday afternoon,STAY_APPT
uhh schedule my checkup for october 18th whenever you can,STAY_APPT
please book it for a later date soon,STAY_APPT
hm please schedule my meeting for monday today,STAY_APPT
schedule the appointment next week!,STAY_APPT
...uh please schedule my follow-up visit,STAY_APPT
"hm schedule my appointment on october 10, 8p.m. whenever you can",STAY_APPT
uh Please book me for tomorrow if possible,STAY_APPT
huh set up me for a monday at noon please,STAY_APPT
oh schedule me for an afternoon slot please,STAY_APPT
hmm schedule my visit for wednesday afternoon please,STAY_APPT
my appointment should be scheduled on a work day please,STAY_APPT
uh schedule that visit for thursday if possible.,STAY_APPT
schedule an appointment for friday at 4!,STAY_APPT
uh could you schedule me for october 22nd.,STAY_APPT
book me for an afternoon slot please,STAY_APPT
...hm please schedule my appointment at a different time,STAY_APPT
oh please set up my follow-up visit,STAY_APPT
huh can we schedule that appt now?,STAY_APPT
...hm can you schedule my appointment next month,STAY_APPT
oh book it at 5 p.m. soon,STAY_APPT
Can you please schedule my appointment this week thanks,STAY_APPT
maybe book it for next thursday,STAY_APPT
hmm can we schedule that appt now?,STAY_APPT
uh uhh can you schedule me a slot for tuesday.,STAY_APPT
maybe book it for next thursday if possible,STAY_APPT
Uhh can i be scheduled for a tuesday morning? when available,STAY_APPT
i’d like to be scheduled for 2pm soon.,STAY_APPT
uh schedule the appt next week today,STAY_APPT
Huh hmm schedule me at 10 a.m. soon,STAY_APPT
Oh schedule that meeting for 8:30a.m. now,STAY_APPT
please set my appointment for 9 a.m.,STAY_APPT
oh set up my next appointment at 4pm soon,STAY_APPT
"hmm schedule my appt on october 10, 8p.m.",STAY_APPT
uh set up my checkup for october 18th,STAY_APPT
...let’s schedule an appointment for monday morning,STAY_APPT
hm can we book that appointment now?,STAY_APPT
I'd love for a scheduled appt at 8a.m if possible if possible,STAY_APPT
uhh uhh can you schedule me a slot for tuesday.,STAY_APPT
Can you schedule me earlier in the day if possible,STAY_APPT
i want my appointment scheduled for monday!,STAY_APPT
hm please set up my meeting for monday,STAY_APPT
...can you please schedule my appointment this week,STAY_APPT
can you book me in at 6pm?,STAY_APPT
schedule it at 5 p.m.,STAY_APPT
can you schedule me in at 6pm?,STAY_APPT
Schedule the appointment next week,STAY_APPT
schedule my next appointment at 4pm,STAY_APPT
...schedule the appointment next week,STAY_APPT
...schedule that meeting for 8:30a.m. if possible,STAY_APPT
Please schedule me for tomorrow,STAY_APPT
maybe schedule it for next thursday when available.,STAY_APPT
hm maybe set up it for next thursday for real,STAY_APPT
Let’s schedule something next week,STAY_APPT
uhh i’d like my appointment scheduled soon today.,STAY_APPT
hmm please set up my appointment at a different time soon,STAY_APPT
please set up my appointment at a different time haha,STAY_APPT
I want to be bookd on a tuesday when available,STAY_APPT
hm schedule the appointment next week!,STAY_APPT
set up my visit for wednesday afternoon thanks,STAY_APPT
huh schedule me for an afternoon slot please haha!,STAY_APPT
"hm schedule my appointment on october 10, 8p.m. haha.",STAY_APPT
Schedule me for an afternoon slot please,STAY_APPT
Oh let’s schedule that appointment for the morning,STAY_APPT
uh schedule me sometime next week,STAY_APPT
...uhh can you schedule me a slot for tuesday,STAY_APPT
can you please book my appointment this week when available,STAY_APPT
oh hm maybe schedule me at a later date then please!,STAY_APPT
Oh i’d like my appointment scheduled soon,STAY_APPT
huh Please schedule me for tomorrow,STAY_APPT
huh schedule the appointment next week,STAY_APPT
...please schedule my appointment at a different time for real,STAY_APPT
...schedule me at noon on october 12,STAY_APPT
please set up my session for wednesday afternoon,STAY_APPT
"...schedule my appointment on october 10, 8p.m.",STAY_APPT
uhh can you schedule my appt next month,STAY_APPT
oh please schedule my appointment at a different time thanks!,STAY_APPT
oh schedule me a time slot for 8a.m tomorrow,STAY_APPT
schedule that visit for thursday if possible!,STAY_APPT
huh please schedule my session for wednesday afternoon!,STAY_APPT
hmm i’d like my appointment set upd soon,STAY_APPT
uh schedule me sometime next week if possible!,STAY_APPT
schedule it at 5 p.m. haha!,STAY_APPT
uhh schedule the appointment next week!,STAY_APPT
hm can you set up me in at 6pm? soon,STAY_APPT
uh can we book that appointment now?,STAY_APPT
uhh please schedule my follow-up visit,STAY_APPT
Huh i’d like to schedule something next friday today,STAY_APPT
I’d like to schedule something next friday soon,STAY_APPT
set up me a time slot for 8a.m tomorrow,STAY_APPT
hmm book this appointment around 9a.m.,STAY_APPT
uh can we book that appointment now?,STAY_APPT
Huh i’d like my appointment scheduled soon whenever you can,STAY_APPT
uhh can i be scheduled for a tuesday morning?!,STAY_APPT
schedule me a time slot for 8a.m tomorrow,STAY_APPT
hmm schedule my checkup for october 18th!,STAY_APPT
maybe book it for next thursday,STAY_APPT
uhh please schedule my appointment at a different time thanks,STAY_APPT
uhh schedule me for a monday at noon,STAY_APPT
oh i’d like my appointment scheduled soon if possible.,STAY_APPT
Hmm schedule my next appointment at 4pm,STAY_APPT
uh schedule this appointment around 9a.m. please,STAY_APPT
uh let’s schedule that appt for the morning,STAY_APPT
uhh please schedule it for a later date please.,STAY_APPT
can i be set upd for a tuesday morning?,STAY_APPT
book my checkup for october 18th whenever you can,STAY_APPT
huh i’d like my appointment bookd soon for real,STAY_APPT
hm maybe schedule me at a later date then.,STAY_APPT
uh schedule me sometime next week!,STAY_APPT
Hmm could you schedule me for october 22nd,STAY_APPT
Oh please schedule my appointment for today haha,STAY_APPT
hmm i’d like to be scheduled for 2pm if possible,STAY_APPT
uhh can you schedule me earlier in the day for real,STAY_APPT
schedule it at 5 p.m. now,STAY_APPT
hm maybe set up me at a later date then for real,STAY_APPT
uh i want my appointment scheduled for monday,STAY_APPT
uhh can we schedule that appointment now? thanks.,STAY_APPT
uhh hmm schedule me at 10 a.m. whenever you can.,STAY_APPT
huh schedule the appointment next week now!,STAY_APPT
can you book me in at 6pm?,STAY_APPT
can you set up me earlier in the day,STAY_APPT
please set up my appointment for today haha,STAY_APPT
...oh schedule me for a monday at noon haha,STAY_APPT
book the appointment next week,STAY_APPT
