text,label
the sentence not correct me know,UNSURE
keyboard nah I'm confused rn,UNSURE
my words is broke rn,UNSURE
wifi ?? hold on a second,UNSURE
bruh one moment please,UNSURE
pdniexoyjqra,UNSURE
okayyy ?? my mic just glitched,UNSURE
sry ummm one moment please,UNSURE
the thing is the thing yea,UNSURE
uhh I lost my train of thought,UNSURE
just doing the thing idk lol,UNSURE
uhh I'm confused rn,UNSURE
I wasn't talking to you,UNSURE
hmm one moment please,UNSURE
nah not sure what I'm doing,UNSURE
idk wifi I can't right now,UNSURE
hangon ugh ???,UNSURE
urlgy,UNSURE
ummm ?? my brain stopped working,UNSURE
cat idk I'm sick rn,UNSURE
I am confusion,UNSURE
the thing is the thing yea,UNSURE
sry keyboard ???,UNSURE
just doing the thing idk lol,UNSURE
lol idk what's going on,UNSURE
ivcyxrxcljdm,UNSURE
I am confusion,UNSURE
cat lmao not sure what I'm doing,UNSURE
sry wifi idk what's going on,UNSURE
hangon not sure what I'm doing,UNSURE
whoops wrong app,UNSURE
cakb,UNSURE
wvlt,UNSURE
sry wait that wasn't for you,UNSURE
xlzxr,UNSURE
nah ugh whoops wrong app,UNSURE
I don even know wut happened,UNSURE
frfr I wasn't talking to you,UNSURE
lsiy,UNSURE
dog hangon this isn't what I meant,UNSURE
mic ugh I wasn't talking to you,UNSURE
rlhcbldjw,UNSURE
mic sorry my kid yelled,UNSURE
qnejnact,UNSURE
cat wait that wasn't for you,UNSURE
my mic just glitched,UNSURE
wait sorry my kid yelled,UNSURE
mic give me a sec,UNSURE
I'm confused rn,UNSURE
oysxv,UNSURE
just doing the thing idk lol,UNSURE
ugh I lost my train of thought,UNSURE
sry give me a sec,UNSURE
hmm my wifi is dying,UNSURE
I don even know wut happened,UNSURE
uhh bruh hold on a second,UNSURE
lol ummm idk what's going on,UNSURE
vdptuxmk,UNSURE
okayyy ignore that,UNSURE
lol hmm idk what's going on,UNSURE
I wasn't talking to you,UNSURE
ytnjkuyucgbg,UNSURE
I can't hear anything,UNSURE
wait that wasn't for you,UNSURE
one moment please,UNSURE
xqrzpbalil,UNSURE
cat bruh I lost my train of thought,UNSURE
just doing the thing idk lol,UNSURE
idk what's going on,UNSURE
one moment please,UNSURE
hold on a second,UNSURE
sry I'm sick rn,UNSURE
help my grammar dead,UNSURE
wosguraeymkr,UNSURE
fqde,UNSURE
frfr my cat stepped on my keyboard,UNSURE
whoops wrong app,UNSURE
yo I can't hear anything,UNSURE
my words is broke rn,UNSURE
I'm confused rn,UNSURE
jjjyhiivpysz,UNSURE
wait okayyy one moment please,UNSURE
my wifi is dying,UNSURE
bruh wait I lost my train of thought,UNSURE
???,UNSURE
ummm holdon my mic just glitched,UNSURE
lol nah ignore that,UNSURE
bro yo my brain stopped working,UNSURE
wait uhhhh I'm eating,UNSURE
wdxkxhhi,UNSURE
my cat stepped on my keyboard,UNSURE
no make sense do it again what,UNSURE
qsdqilt,UNSURE
I wasn't talking to you,UNSURE
idk bro ???,UNSURE
lol bruh ignore that,UNSURE
lol sorry my kid yelled,UNSURE
mfifeagwy,UNSURE
the sentence not correct me know,UNSURE
bruh ignore that,UNSURE
cat my mic just glitched,UNSURE
lmao holdon hold on a second,UNSURE
why the say say in me brain huh,UNSURE
bro ???,UNSURE
sry sorry I'm distracted,UNSURE
holdon mic my mic just glitched,UNSURE
yo my cat stepped on my keyboard,UNSURE
zraxdbadv,UNSURE
basgupinnj,UNSURE
vwplgggtsv,UNSURE
bruh mic ???,UNSURE
why the say say in me brain huh,UNSURE
one moment please,UNSURE
bro lol my mic just glitched,UNSURE
just doing the thing idk lol,UNSURE
idk I can't right now,UNSURE
hangon idk sorry my kid yelled,UNSURE
the thing is the thing yea,UNSURE
the thing is the thing yea,UNSURE
the sentence not correct me know,UNSURE
wtf I'm sick rn,UNSURE
epznjbsy,UNSURE
keyboard I lost my train of thought,UNSURE
my words is broke rn,UNSURE
lol hmm I can't hear anything,UNSURE
sry uhh my wifi is dying,UNSURE
wait hangon I'm confused rn,UNSURE
sry ummm I'm sick rn,UNSURE
bro ugh my mic just glitched,UNSURE
bruh wtf I'm sick rn,UNSURE
pvwtjoxp,UNSURE
hmm I can't right now,UNSURE
my cat stepped on my keyboard,UNSURE
lwhnhzitayux,UNSURE
qgqxj,UNSURE
hoqinaar,UNSURE
idk mic I can't hear anything,UNSURE
yo I can't hear anything,UNSURE
just doing the thing idk lol,UNSURE
u make soun but no hear me,UNSURE
?? dog not sure what I'm doing,UNSURE
bruh ?? hold on a second,UNSURE
aejcveq,UNSURE
hangon okayyy uhhhh I'm eating,UNSURE
bruh my wifi is dying,UNSURE
dog whoops wrong app,UNSURE
my cat stepped on my keyboard,UNSURE
whoops wrong app,UNSURE
hold on a second,UNSURE
jotwlzitj,UNSURE
keyboard ugh sorry my kid yelled,UNSURE
bruh that was an accident,UNSURE
wait bro one moment please,UNSURE
wifi my brain stopped working,UNSURE
bruh I can't right now,UNSURE
?? keyboard ???,UNSURE
vmgzenmqga,UNSURE
?? I can't hear anything,UNSURE
sorry I'm distracted,UNSURE
I am confusion,UNSURE
hmm lmao ignore that,UNSURE
wait my brain stopped working,UNSURE
tqamcjdybxoo,UNSURE
dijruoxjb,UNSURE
jxdk,UNSURE
I lost my train of thought,UNSURE
wait that wasn't for you,UNSURE
lkchj,UNSURE
fvuydtjywvt,UNSURE
holdon my wifi is dying,UNSURE
