text,label
sorry background noise,UNSURE
maybe later,UNSURE
repeat please,UNSURE
what time again,UNSURE
shhh im on the phone,UNSURE
you cut out,UNSURE
didnt get that,UNSURE
im confused,UNSURE
this agent is pretty good,UNSURE
i think so but not sure,UNSURE
what was that sound,UNSURE
i didn’t get that last part,UNSURE
didnt get that,UNSURE
the connection is bad,UNSURE
did you mean next week?,UNSURE
the connection is bad,UNSURE
"I'm not sure, let me check the calendar",UNSURE
lemme check something,UNSURE
noise in background,UNSURE
testing testing,UNSURE
need to verify that,UNSURE
say that slower,UNSURE
unsure about the date,UNSURE
one second,UNSURE
please repeat that again,UNSURE
let me check my schedule real quick,UNSURE
that was too fast,UNSURE
couldn’t hear that,UNSURE
im a bit lost,UNSURE
what time did you say again?,UNSURE
wait my dog’s barking,UNSURE
hang tight,UNSURE
idk,UNSURE
don’t know yet,UNSURE
please repeat the time,UNSURE
uncertain,UNSURE
this agent is pretty good,UNSURE
say that louder,UNSURE
checking right now,UNSURE
im parking,UNSURE
checking right now,UNSURE
repeat that appointment,UNSURE
please repeat the time,UNSURE
clarify please,UNSURE
not sure,UNSURE
not sure what you said just now,UNSURE
let me check that out,UNSURE
what did you mean by that,UNSURE
maybe later,UNSURE
what was that,UNSURE
sorry can you clarify,UNSURE
possibly tomorrow,UNSURE
thinking about it,UNSURE
wait my dog’s barking,UNSURE
let me check my schedule real quick,UNSURE
please repeat the date,UNSURE
still deciding,UNSURE
I’ll think about it,UNSURE
sorry bad connection,UNSURE
hold up im eating,UNSURE
"I'm not sure, let me check the calendar",UNSURE
say again,UNSURE
"sorry, repeat that for me one more time",UNSURE
let’s see,UNSURE
the connection is bad,UNSURE
who are you talking to david?,UNSURE
what did you say,UNSURE
oops missed that,UNSURE
did you say friday the 15th?,UNSURE
wait wait what,UNSURE
thinking about it,UNSURE
music’s playing,UNSURE
not following,UNSURE
checking my phone,UNSURE
sorry one sec,UNSURE
maybe I need to think about it,UNSURE
repeat please,UNSURE
im on the phone with an agent right now,UNSURE
sorry bad connection,UNSURE
lemme think,UNSURE
i’ll have to see,UNSURE
hang on,UNSURE
come again?,UNSURE
wait checking,UNSURE
let me check my schedule real quick,UNSURE
"I'm not sure, let me check the calendar",UNSURE
maybe I need to think about it,UNSURE
could you clarify that,UNSURE
did you say something?,UNSURE
im multitasking,UNSURE
i can’t hear,UNSURE
need to think it over,UNSURE
wait wait what,UNSURE
"I'm not sure, let me check the calendar",UNSURE
what was that date you said,UNSURE
let me double check,UNSURE
im multitasking,UNSURE
didnt get that,UNSURE
the connection is bad,UNSURE
say again,UNSURE
music’s playing,UNSURE
not sure,UNSURE
possibly,UNSURE
are you on the phone with the clinic?,UNSURE
not right now maybe later,UNSURE
hang on mom’s talking,UNSURE
i didnt understand,UNSURE
repeat please,UNSURE
please repeat,UNSURE
unclear,UNSURE
hang on,UNSURE
repeat that appointment,UNSURE
sorry i lost you,UNSURE
wait my dog’s barking,UNSURE
the connection is bad,UNSURE
hold on,UNSURE
what time did you say again?,UNSURE
need to think it over,UNSURE
not sure about that,UNSURE
let me confirm later,UNSURE
unclear,UNSURE
dont understand,UNSURE
ill see,UNSURE
wait wait what,UNSURE
i need to hear that again please,UNSURE
not following,UNSURE
checking calendar,UNSURE
oh no I missed it,UNSURE
what did you mean by that,UNSURE
sorry i lost you,UNSURE
im multitasking,UNSURE
possibly tomorrow,UNSURE
not sure what works yet,UNSURE
hang on,UNSURE
wait GPS talking,UNSURE
come again?,UNSURE
was that for today?,UNSURE
i need to hear that again please,UNSURE
not following,UNSURE
let’s see,UNSURE
was that for today?,UNSURE
not right now maybe later,UNSURE
did you say friday the 15th?,UNSURE
what was that,UNSURE
let me double check,UNSURE
did you say monday?,UNSURE
wait GPS talking,UNSURE
let’s see,UNSURE
wait my dog’s barking,UNSURE
oh no I missed it,UNSURE
i didn’t get that last part,UNSURE
not clear,UNSURE
ill need to have a look at the calendar,UNSURE
can you say that one more time please,UNSURE
please repeat the time,UNSURE
wait what,UNSURE
"I didnt catch that, did you say 4pm?",UNSURE
oops missed that,UNSURE
i didnt quite catch that could you repeat,UNSURE
could be,UNSURE
was that for today?,UNSURE
one second,UNSURE
what do you mean,UNSURE
oops missed that,UNSURE
you cut out,UNSURE
repeat please,UNSURE
did you say monday?,UNSURE
what do you mean,UNSURE
sorry one sec,UNSURE
testing testing,UNSURE
can you say that one more time please,UNSURE
not sure about the date I need to double check,UNSURE
let me figure that out,UNSURE
sorry im confused,UNSURE
sorry background noise,UNSURE
wait GPS talking,UNSURE
sorry I was distracted,UNSURE
ill see,UNSURE
let me double check,UNSURE
idk,UNSURE
not clear,UNSURE
not sure i can do that,UNSURE
could you clarify that,UNSURE
i didnt quite catch that could you repeat,UNSURE
uncertain,UNSURE
haven’t decided yet,UNSURE
i dont get it,UNSURE
im multitasking,UNSURE
not sure about the date I need to double check,UNSURE
im parking,UNSURE
clarify please,UNSURE
who are you talking to david?,UNSURE
i missed that,UNSURE
can you say that one more time please,UNSURE
i didn’t get that last part,UNSURE
hang on mom’s talking,UNSURE
"I'm not sure, let me check the calendar",UNSURE
repeat please,UNSURE
what did you mean again,UNSURE
explain that please,UNSURE
give me a sec,UNSURE
hang on,UNSURE
sorry i lost you,UNSURE
dont understand,UNSURE
come again?,UNSURE
wait lemme check,UNSURE
one second,UNSURE
im parking,UNSURE
"I'm not sure, let me check the calendar",UNSURE
not clear,UNSURE
still deciding,UNSURE
wait hold up,UNSURE
not sure what works yet,UNSURE
sorry im confused,UNSURE
I’ll think about it,UNSURE
what was that sound,UNSURE
did you say something?,UNSURE
wait GPS talking,UNSURE
say that again,UNSURE
