text,label
Please connect me to a human,HUMAN_AGENT
;an you transfer me to a person?,HUMAN_AGENT
Can you transfer me to a person?,HUMAN_AGENT
Plefse connect me to a human,HUMAN_AGENT
Can you tranifer me to a pereson?,HUMAN_AGENT
Pltase connect me to a human,HUMAN_AGENT
Can I speak wzth aa real person?,HUMAN_AGENT
Let me speak tb a real agent,HUMAN_AGENT
I want to talk to support person,HUMAN_AGENT
I want a live reipresentative,HUMAN_AGENT
Can you traqsfer me to a personu?,HUMAN_AGENT
I nieed a human agegt please,HUMAN_AGENT
I want a live representatkve,HUMAN_AGENT
Let me salek to someone human,HUMAN_AGENT
I want to talk to a human,HUMAN_AGENT
Please connect me to aahuman,HUMAN_AGENT
I want to talk to anupport person,HUMAN_AGENT
Can you transfer me to a person?,HUMAN_AGENT
Please connect me to a human,HUMAN_AGENT
I need a humqn agent please,HUMAN_AGENT
I need to talk to a staff member,HUMAN_AGENT
I want to talk to abhuman,HUMAN_AGENT
Can you transfer me to a person?,HUMAN_AGENT
Can I speak with ea real person?,HUMAN_AGENT
I need a hmman agent please,HUMAN_AGENT
Can you tranosfer me to a person?,HUMAN_AGENT
Let me talk to someune human,HUMAN_AGENT
Let me speak to a real agent,HUMAN_AGENT
I want to talk;to support person,HUMAN_AGENT
I need a human agent pgease,HUMAN_AGENT
oI want a lire representative,HUMAN_AGENT
I want to falk to a human,HUMAN_AGENT
I needo a hcman agent please,HUMAN_AGENT
Let mae talk to someone human,HUMAN_AGENT
I want a live representativue,HUMAN_AGENT
Please connect me to a human,HUMAN_AGENT
Lkt me talk to someone human,HUMAN_AGENT
I want to utalk to a human,HUMAN_AGENT
Please connect me to a human,HUMAN_AGENT
Can you transfeq me to a person?,HUMAN_AGENT
I wanat to talk ;o a human,HUMAN_AGENT
I need to talk to a staff member,HUMAN_AGENT
iPlease connbct me to a human,HUMAN_AGENT
I need to talk to a staff member,HUMAN_AGENT
I want a livemrepresentative,HUMAN_AGENT
Caen I speak with a r;al person?,HUMAN_AGENT
I need to talk to a staff meember,HUMAN_AGENT
Can you transfer meeto a person?,HUMAN_AGENT
Please connect me to a human,HUMAN_AGENT
Can you;transfer me to a person?,HUMAN_AGENT
I need to talk to a ntaff member,HUMAN_AGENT
Let me speak toa a real agent,HUMAN_AGENT
Please oconnect me to a huian,HUMAN_AGENT
Can b speak with a real person?,HUMAN_AGENT
Let me talk to someone human,HUMAN_AGENT
Can you transfyr me to a person?,HUMAN_AGENT
Let me talk to someohe human,HUMAN_AGENT
I naeed a human agent please,HUMAN_AGENT
Let me speak to oa rewl agent,HUMAN_AGENT
I need a human agent please,HUMAN_AGENT
Plnase connect me to a human,HUMAN_AGENT
Let me talk to someone human,HUMAN_AGENT
Let me talk to someaone homan,HUMAN_AGENT
Please connect me to e human,HUMAN_AGENT
I want to talk to a human,HUMAN_AGENT
Please connect me tooa human,HUMAN_AGENT
Let me talk to someone human,HUMAN_AGENT
I need a human aagent please,HUMAN_AGENT
Can I speak wiuh a real person?,HUMAN_AGENT
I want to talk to a hutan,HUMAN_AGENT
Can you transfer me to a person?,HUMAN_AGENT
Can you transfer me to a peruson?,HUMAN_AGENT
Can you transfer me to a person?,HUMAN_AGENT
aI want a libe representative,HUMAN_AGENT
I want uto talk tofa human,HUMAN_AGENT
Letwme speak to a real agent,HUMAN_AGENT
Please connect me to a human,HUMAN_AGENT
I want a live representative,HUMAN_AGENT
I want to talk to aa human,HUMAN_AGENT
I want a live representative,HUMAN_AGENT
Let me talk to someone human,HUMAN_AGENT
I need a human uagent please,HUMAN_AGENT
Can you tranusfer me to a person?,HUMAN_AGENT
Let me speak to a real agent,HUMAN_AGENT
Please aconnect me to a human,HUMAN_AGENT
I want a live representative,HUMAN_AGENT
Let me talk to someone hfman,HUMAN_AGENT
I want to talk to support person,HUMAN_AGENT
I need to talk to a staff omember,HUMAN_AGENT
I want to talk to a human,HUMAN_AGENT
I nwed to talk to a staff member,HUMAN_AGENT
Irwanti to talk to a human,HUMAN_AGENT
Can you transfer me to a perison?,HUMAN_AGENT
I want to talk ti a human,HUMAN_AGENT
I need to talk to a stafe member,HUMAN_AGENT
Please oconnect me to a human,HUMAN_AGENT
I want to talk to a humpn,HUMAN_AGENT
Let mw speak to a real agent,HUMAN_AGENT
Can Iqspeak with a real person?,HUMAN_AGENT
Let me speak toya real agent,HUMAN_AGENT
