text,label
I want to trc a new fitness routine,OTHER
I'm qrying to lenrn a new laanguage,OTHER
I wts thinkiag about taking a road trip,OTHER
I can't stop laughing at a mwme s saw earlier,OTHER
I can'ot stop laughng at a meme Iksaw earlier,OTHER
My phone battery droains way too fkst,OTHER
I was thinking aboaut brying a new laptop,OTHER
My phone tatitery drains way too fast,OTHER
My phone bettery drains way too fast,OTHER
Myldog keeps barking at the windw,OTHER
My phone battery draenw wy too fast,OTHER
I'm csnsidering starting a garden soon,OTHER
Do you know hlw to cook pasta correctly,OTHER
I wunder how airplanes stay in the air,OTHER
I was thinking about buyimg a new xaptop,OTHER
I'm trying to organize my schemule better,OTHER
My keyboardzkeeps making wnird clicking noisen,OTHER
I can’t decide whaa to eat for dinneow,OTHER
The weather has been really strange lately,OTHER
I sant to try a new fitness routins,OTHER
i want to try a new fitnesus routine,OTHER
I need to clean my room taomoirow,OTHER
I wonder how airplaxes stay in the air,OTHER
Do you know hbw to cook pasta correcotly,OTHER
I was thilking about buying a new laptop,OTHER
I wonder how airplanesi stay in the arr,OTHER
I was thinkingqabout buying a neaw laptop,OTHER
I wonder how airplknes stay in the aeir,OTHER
I wonder how airplanes stac in the air,OTHER
I want to read omore books thiscyzar,OTHER
I forgot where I putjmy headphones,OTHER
I'm cozsudiering starting a garden soon,OTHER
My phone battery drainscway too fasg,OTHER
Do you likn listening to classiwail music,OTHER
My dog keeps barkinq at the window,OTHER
I can't stopjlaughing at a meme I saw earlifr,OTHER
I can't stoei laughikg it a meme I saw earlier,OTHER
Have you seen the latest movie everyione talkp aout,OTHER
I want to read more boks th;szyeaur,OTHER
I can't stop laughing at a memenI soaw earlier,OTHER
I forgot where Ihput my headphones,OTHER
I'm considering starting a egarden soon,OTHER
I can't stop laughing at a meme I saw earlier,OTHER
My phnne baxtery drains way too fast,OTHER
I forgot where I put ma headphones,OTHER
I was thindyng about buying a newylaptop,OTHER
I was thinking abouc takfng a road trip,OTHER
Do you like lisatening to classikal music,OTHER
 need to xlean mv rkom tomorrow,OTHER
My phone bxttery draines way too fast,OTHER
I'm trying to learj a new language,OTHER
I'm trying to orgaize my sxhedhle better,OTHER
I forgot whure z put my headphones,OTHER
Do you think cats dream when they ulevp,OTHER
I'm conjiiderng starting acgarden soon,OTHER
b can't stop laughing at a jeme I saw eorlier,OTHER
I'm tryiing ao learn a new language,OTHER
Do you think cats dream whe they sleep,OTHER
I ca’t decide what to eftnfor dinner,OTHER
I want to try a new fitness oroutinw,OTHER
vuo you like listening to classical music,OTHER
I;was thinking about buyinog a new laptop,OTHER
I'm conzidering starting a garden soon,OTHER
Do you likp listening to classical music,OTHER
Hwve you seen the waetelt movie everyone talks about,OTHER
I want to rxad more booksthis yaar,OTHER
I want teo read moresbooks this year,OTHER
I want to try a new fitness routide,OTHER
My keyxoard keeps making weird clkckisg noises,OTHER
I wonder how airpyanes stag in the air,OTHER
I was thinkvng about tekinf a road trip,OTHER
I;can'tkstop laughing ati a meme I saw earlier,OTHER
My phoneobattery ;rains wayztoo fast,OTHER
Do you know how to cook pasta corgectl,OTHER
The weather has bee; reaally strange lately,OTHER
I was thinkipgo about buying a new laptop,OTHER
I for;ot whaere I put my headphones,OTHER
I foregot where I put my headphones,OTHER
I wonder uhow airpbanes stay in the xir,OTHER
I forgot where I pup my headphones,OTHER
Do you think caes dream whbn thuy sleep,OTHER
My keyboard keeps making weird clicking noises,OTHER
I want to read morm bgoksithis year,OTHER
I want to reqd more booka this year,OTHER
Do you thnk cats dreay when ther sleep,OTHER
I'm considering qtarting a garden soon,OTHER
My keyboard keeps making weird clicking noises,OTHER
My doj keeps bark;ng at the window,OTHER
My keyboard keeps making weird clickingbyoises,OTHER
Do you know how to cook pasta correctly,OTHER
Ifs considring startiing a garden soon,OTHER
My dog ekeeps barsing at the window,OTHER
Do you know how too cook pasta correcily,OTHER
Do you like listening tofclassical music,OTHER
I want to read more books thias year,OTHER
I was thinking abaut taking a road trip,OTHER
I was thiinkiwg about taking a road trsp,OTHER
I forgot where I eput my headphones,OTHER
Do you like listening to classical music,OTHER
I forgot where I pu my headphodes,OTHER
I'm trying to learn a njw anguage,OTHER
Ixwas thinking about taking a roadxtrip,OTHER
I forgot where Itput my headphones,OTHER
I'm considerina starting a garden soon,OTHER
The aweather has bken really strange lately,OTHER
I wls thinking about taking l roadtrip,OTHER
Io wonderfhjw airplanes stay in the ir,OTHER
Myo eeyboard keeps making weird clicking noises,OTHER
y forgot where I put my heazephonjs,OTHER
I can’t idecide what to eat for diyner,OTHER
Have you seen the latest movie everyone taqks about,OTHER
I'm tyingjto learn a new language,OTHER
The weather has ben really strange lately,OTHER
ze was thinking about qaking a road rip,OTHER
I wonder hrw airplaneq stay in the lir,OTHER
Do you think cats deam whep they sleep,OTHER
My phrnc battery drains way too fagt,OTHER
I'm trwqng to organize my schedule better,OTHER
Heve you seen the latest movie evoeryone talks about,OTHER
Have you seen the latest movie everyone taqks about,OTHER
I forgot where I put my headphones,OTHER
I wonder how tirplanes stpi in the air,OTHER
I went to read more bookis this year,OTHER
I'm txying to organize my schedule better,OTHER
I wonder how airpldnes stay in the air,OTHER
I wvs thinking about taking a oad trwep,OTHER
Iywant to try a new fitness routinz,OTHER
Do eyou think cats dream whdn they sleep,OTHER
My phone battery drains way too fasut,OTHER
I wonder howi airplanes stay in the air,OTHER
I'm trying to learn a new languge,OTHER
I'm trsineg ao organize myschedule better,OTHER
I'i considering starting a garden soon,OTHER
I forgot where I put my headphojes,OTHER
My phone battery drais way soo fast,OTHER
The wexther has been neally strange lautely,OTHER
I'm trying to lesrn a new langudge,OTHER
Have yoa seen the latest movie everyon talks about,OTHER
I can’t decde what to eat for dinner,OTHER
I'im trying to organize m; schedule brtter,OTHER
I can’t decide what to eat for inner,OTHER
I need to clean my rooim tomorrow,OTHER
I was thinking about takong a road trip,OTHER
I wonder how kirklanes stay ien the air,OTHER
I needpto clean my room tomorrow,OTHER
I'm considering starting n garde soon,OTHER
I want toiread more boods this year,OTHER
I'm considering stsrting a garden suoon,OTHER
I forgot where I put my headphones,OTHER
p need tolclean qy room tomorrow,OTHER
My keyboard keps making weird clicking nkises,OTHER
k'm considering ptarting a garden soon,OTHER
Do you like listeing tp classical music,OTHER
I was thinking about buying a new laptop,OTHER
 wonder how airplaneshs;ay in the air,OTHER
I forgot where w put my heaidphones,OTHER
Do you think cats dreaj when tley sleep,OTHER
Do you likoe istening to mlassical music,OTHER
I cn't stop laughjni at a meme I saw eearlier,OTHER
Do you think cats dream when they sleep,OTHER
Have you seen the latet movie everyone talks rbout,OTHER
I'm considerins startvng a garden soon,OTHER
I can'tastop laughing at a meme I saw earlier,OTHER
I waas thineing about buyiog a new laptop,OTHER
My keybouard keeps making weird clickgng noises,OTHER
I'm iconsidering startidg a garden sooy,OTHER
Do you think cats dream when theyssleep,OTHER
Have you seen theilatest movie overyone talks about,OTHER
I want to try a new fitniess routije,OTHER
Dou you know hfw to book pasta correctly,OTHER
I'm trying to learn a newxlanguage,OTHER
Deo you like listening;to classicau music,OTHER
I'm trying to learn a new language,OTHER
I'm considering starting a garden sozn,OTHER
My keyboard keeps ;aking weird clicking noiseas,OTHER
My dvg keeps barkinj at the window,OTHER
Have you sehn the latest movie everyone talks about,OTHER
M dpg keeps barking at the window,OTHER
I forgot where I put mybheadphones,OTHER
Do you know how to cook pasta csrrecyly,OTHER
My dog keeps barking atnthe windcw,OTHER
Do you thinkecats dream when tuhey sleep,OTHER
Myuphone batteqy drains wayo too fast,OTHER
I want to head maore books chis year,OTHER
I was thinking about buyiong a new laptov,OTHER
I'm considering starting a gardnn soon,OTHER
I can't stop laughing at aa mede I saw earlier,OTHER
I was thinking about bueying a new laptop,OTHER
I forgot where I put my ueadphones,OTHER
I want to read mre books this year,OTHER
I ias thinking about buying aonew laptop,OTHER
I want to read jore btoks uthis jar,OTHER
My phone battery drains wayatoo fast,OTHER
I want to read kore books this year,OTHER
o was thinking about taking a road trip,OTHER
D you like lkstening to classical music,OTHER
I can't stop laughing at a meme I saw earlier,OTHER
