text,label
"Schedule it on July 21, 2025 for 02:00, if you have it.",APPT_NEW
Could we pick 02/14/2025 for 2:15am!,APPT_NEW
"Maybe do 1:45am on Friday, April 21st, if you have it.",APPT_NEW
Let's do 7-5-26 at 3:30 am if that works?,APPT_NEW
"How about on 12-3-27 at midnight, assuming that's open",APPT_NEW
"Maybe do 10 June 2026 for 5:15am, if you have it",APPT_NEW
Can you schedule Dec 15th for 7:00pm if possible!,APPT_NEW
"August 14, 2025 at 21:00, assuming that's open",APPT_NEW
"Maybe do February 27, 2026 at 8:45am, assuming that's open",APPT_NEW
"I want 00:45 on Jul 22nd, assuming that's open.",APPT_NEW
"I'd like noon on Tuesday, May 5th, if available!",APPT_NEW
I'm thinking 03/27/2026 around midnight thanks!,APPT_NEW
9:15pm on 5 March 2025 that works?,APPT_NEW
"I want 3-14-25 around 11:30 am, assuming that's open.",APPT_NEW
I'm thinking noon on 07/13/2026 thanks.,APPT_NEW
"Lock in 2-11-25 for 1:00am, if you have it?",APPT_NEW
"How about October 1, 2026 around 6:45 am if that works",APPT_NEW
"August 4, 2026 at midnight if possible.",APPT_NEW
How about 3:15pm on Jun 24th if possible,APPT_NEW
"I'm thinking 02:30 on Sunday, September 10th thanks",APPT_NEW
"I'm thinking on Tuesday, September 11th at 7:15 pm thanks!",APPT_NEW
"Could we pick midnight on Monday, August 12th, assuming that's open",APPT_NEW
"February 8, 2026 at 7:45 am, assuming that's open?",APPT_NEW
"8:00pm on Wednesday, January 16th, assuming that's open?",APPT_NEW
"Schedule my appointment for November 11, 2026 around midnight if possible.",APPT_NEW
Schedule my appointment for midnight on 1-5-25?,APPT_NEW
Can we book on 11-4-27 at noon?,APPT_NEW
Book me on 17 May 2025 for 18:30 if possible!,APPT_NEW
"I'd like Friday, June 15th for 4:45 pm, if you have it?",APPT_NEW
"Let's aim for 7:00 pm on 25 August 2025, assuming that's open?",APPT_NEW
"Pencil me in on February 18, 2027 for 10:45am thanks.",APPT_NEW
"Could we pick on January 25, 2026 at 4:45pm, assuming that's open.",APPT_NEW
"Schedule it on 9-20-27 for midnight, if you have it?",APPT_NEW
4:45am on 04/27/2027 if that works!,APPT_NEW
"Please schedule me for on April 14, 2027 at 6:30am if that works?",APPT_NEW
Let's do midnight on 15 March 2026 if possible?,APPT_NEW
Reserve 07/11/2027 at 06:30,APPT_NEW
"Schedule it on Monday, August 15th for 12:30 please.",APPT_NEW
"Put me down for on Feb 9th at 01:15, if available?",APPT_NEW
Book me on 3-18-26 at 18:45,APPT_NEW
"Schedule my appointment for February 9, 2026 at 20:00 please?",APPT_NEW
Book me on Aug 1st for 17:45?,APPT_NEW
Let's aim for 8:00 am on 4 April 2027 that works,APPT_NEW
5-15-25 at 21:15 that works.,APPT_NEW
"noon on 1-24-25, if available.",APPT_NEW
Jul 17th at 10:15 pm if possible?,APPT_NEW
00:00 on 27 January 2026?,APPT_NEW
Please schedule me for 7-28-27 around 9:30 pm,APPT_NEW
03/09/2025 at 00:30 thanks,APPT_NEW
"noon on 12 April 2026, if you have it",APPT_NEW
"Could we pick 2:30am on September 25, 2025!",APPT_NEW
"Tentatively set Tuesday, May 10th around midnight if possible!",APPT_NEW
I want 21 October 2027 for 1:45 am thanks.,APPT_NEW
"Please schedule me for Wednesday, January 5th around noon, if you have it.",APPT_NEW
Put me down for 05/01/2026 around 2:00am that works!,APPT_NEW
Please schedule me for next Tuesday at midnight that works!,APPT_NEW
21 November 2027 at 02:15 if possible,APPT_NEW
Can we book Jan 16th around 9:00 pm that works!,APPT_NEW
Let's aim for 08/15/2026 at 03:15!,APPT_NEW
I want noon on 2-27-26 please.,APPT_NEW
Let's do Sep 9th around 4:30am thanks,APPT_NEW
"1 July 2026 at midnight, if available?",APPT_NEW
Let's shoot for on next Wednesday at 00:30 please!,APPT_NEW
8:30am on Jan 24th please!,APPT_NEW
"Let's shoot for on May 28, 2026 at 8:00am if possible",APPT_NEW
"Put me down for on Jul 17th at noon, if you have it!",APPT_NEW
"I'm thinking December 3, 2025 around noon, assuming that's open",APPT_NEW
03/06/2027 at 13:30 that works,APPT_NEW
Tentatively set 5:45pm on 04/10/2027 please?,APPT_NEW
Could we pick midnight on 18 August 2027 thanks?,APPT_NEW
"June 18, 2025 at 10:15?",APPT_NEW
"7-24-26 at 06:45, assuming that's open.",APPT_NEW
"Friday, June 5th at 4:15pm, if available?",APPT_NEW
"12:15am on Aug 14th, assuming that's open!",APPT_NEW
Can we book on 7-27-25 at 2:45 pm thanks.,APPT_NEW
"Let's do September 22, 2025 for 11:45pm.",APPT_NEW
"Let's do Saturday, October 2nd for 09:15 please!",APPT_NEW
How about 06:45 on 5-17-25.,APPT_NEW
I'm thinking Aug 9th for noon?,APPT_NEW
"Reserve November 10, 2027 at midnight thanks",APPT_NEW
"Reserve April 16, 2026 around midnight thanks!",APPT_NEW
12-28-26 at noon thanks?,APPT_NEW
"Lock in 3:45 am on May 25th, if available!",APPT_NEW
"6:00 am on March 13, 2027.",APPT_NEW
Schedule my appointment for 11:00pm on Aug 23rd thanks,APPT_NEW
09/24/2027 at midnight if possible!,APPT_NEW
"How about February 9, 2025 for 11:45am, if available?",APPT_NEW
"July 3, 2026 at 10:45 pm thanks!",APPT_NEW
"Schedule it on on December 16, 2026 at 8:45 pm!",APPT_NEW
Tentatively set next Monday for 8:15am if that works,APPT_NEW
Oct 2nd at 23:30 please.,APPT_NEW
"Can we book midnight on Thursday, February 16th if possible!",APPT_NEW
"Can we book on Sunday, May 27th at 04:15, assuming that's open",APPT_NEW
12:15 pm on 17 February 2027.,APPT_NEW
11 September 2027 at 1:00pm thanks.,APPT_NEW
5:15 am on 08/23/2026 thanks!,APPT_NEW
next Wednesday at 09:30 that works,APPT_NEW
Could we pick 6 April 2026 for 07:15 if that works?,APPT_NEW
Please schedule me for 5-8-26 around 4:15pm!,APPT_NEW
27 August 2025 at 2:30pm please?,APPT_NEW
"I'd like 10-27-25 for 06:00, assuming that's open?",APPT_NEW
"Pencil me in on November 1, 2026 at 8:30 pm if that works",APPT_NEW
"Let's do on April 9, 2025 at 7:15pm, if available",APPT_NEW
"Let's shoot for October 10, 2025 at midnight please!",APPT_NEW
"midnight on Friday, September 5th that works",APPT_NEW
Reserve on 5-24-25 at noon thanks,APPT_NEW
"Tentatively set on July 7, 2027 at noon, if available.",APPT_NEW
"Maybe do 25 August 2026 for 4:00am, if available?",APPT_NEW
"Friday, October 12th at 05:15, if you have it?",APPT_NEW
"Schedule my appointment for on 02/13/2025 at 6:30 am, assuming that's open.",APPT_NEW
Schedule it on 10/21/2025 for 2:15 am thanks!,APPT_NEW
"Can you schedule October 7, 2025 at midnight thanks?",APPT_NEW
"1:30am on next Saturday, if you have it!",APPT_NEW
midnight on 7-10-27 if possible!,APPT_NEW
"Can we book on 10/16/2025 at noon, if available!",APPT_NEW
How about 03/12/2025 at noon please?,APPT_NEW
"Schedule it on September 3, 2027 at 4:45 pm please.",APPT_NEW
Could we pick on next Sunday at 5:15am that works,APPT_NEW
"Schedule my appointment for next Thursday for noon, if you have it",APPT_NEW
Put me down for 2 June 2026 around 5:45 am if that works,APPT_NEW
next Friday at noon if that works!,APPT_NEW
11:30am on 19 June 2026 if possible?,APPT_NEW
Pencil me in on next Friday around 08:30.,APPT_NEW
"Put me down for 1:30pm on Thursday, May 20th thanks!",APPT_NEW
"Pencil me in on January 1, 2027 at 00:30, if you have it",APPT_NEW
Put me down for 10-10-26 for 04:15 if possible!,APPT_NEW
Let's do 23 April 2025 around 2:00pm that works?,APPT_NEW
"Tentatively set midnight on Sunday, January 2nd?",APPT_NEW
I'd like 09/01/2025 at 5:15 am.,APPT_NEW
Pencil me in on 7 November 2027 for noon please,APPT_NEW
I want next Thursday around midnight please!,APPT_NEW
Apr 4th at 7:00am,APPT_NEW
Book me on 09/22/2027 around 21:30 please?,APPT_NEW
Let's aim for 9 March 2025 around 11:15 pm thanks,APPT_NEW
"Tentatively set on 10/08/2026 at noon, if available.",APPT_NEW
Put me down for 12:00 pm on 26 May 2027.,APPT_NEW
How about Oct 6th at 4:00am?,APPT_NEW
Please schedule me for on next Friday at 11:15am please!,APPT_NEW
"01:00 on April 4, 2025 if possible.",APPT_NEW
How about Apr 10th at 10:45 that works,APPT_NEW
"I want Dec 25th for 10:45, if available.",APPT_NEW
"Can we book September 25, 2026 for 11:45am please?",APPT_NEW
"Maybe do on March 14, 2026 at 16:15.",APPT_NEW
"Let's shoot for on Sunday, February 16th at 05:45 if possible",APPT_NEW
5:00am on 12/08/2025 if that works.,APPT_NEW
"Let's shoot for 13:00 on Monday, July 13th that works",APPT_NEW
Reserve 09/06/2027 for noon if that works.,APPT_NEW
2:30 pm on next Sunday that works!,APPT_NEW
03/11/2025 at 8:15 pm if possible,APPT_NEW
Let's do 4:30 pm on 12-11-25 thanks,APPT_NEW
"Book me on 6:45 am on Monday, February 6th that works",APPT_NEW
"Reserve Monday, April 4th at midnight, if available.",APPT_NEW
"Wednesday, April 17th at 2:00 pm!",APPT_NEW
