text,label
"Sure, 8am",CONFIRM
"Sure, 12pm",CONFIRM
3:30pm is awesome,CONFIRM
10am works great,CONFIRM
4:30pm sounds great,CONFIRM
3:30pm please,CONFIRM
I'm good with 2pm,CONFIRM
1:30pm is good,CONFIRM
1pm sounds great,CONFIRM
5pm please,CONFIRM
4pm works,CONFIRM
8:30am should be okay,CONFIRM
12:30pm is good,CONFIRM
10am is okay,CONFIRM
11am works,CONFIRM
3pm is awesome,CONFIRM
4pm should be okay,CONFIRM
Let's go with 9am,CONFIRM
10am sounds great,CONFIRM
10am is awesome,CONFIRM
5pm is okay,CONFIRM
8am works great,CONFIRM
I'm good with 9am,CONFIRM
5pm works for me,CONFIRM
2:30pm please,CONFIRM
2pm works for me,CONFIRM
I'm good with 1pm,CONFIRM
11am works for me,CONFIRM
Let's do 11am,CONFIRM
"Sure, 12:30pm",CONFIRM
2pm works,CONFIRM
5pm is cool,CONFIRM
"Sure, 2pm",CONFIRM
9:30am is good,CONFIRM
2pm is great,CONFIRM
1:30pm is perfect,CONFIRM
9am is awesome,CONFIRM
"Yeah, 12:30pm works",CONFIRM
1pm is cool,CONFIRM
3pm should be okay,CONFIRM
9:30am works for me,CONFIRM
1:30pm should be okay,CONFIRM
5pm works great,CONFIRM
1:30pm works great,CONFIRM
11am is good,CONFIRM
1:30pm should be okay,CONFIRM
"Sure, 5pm",CONFIRM
I'm good with 3:30pm,CONFIRM
Let's do 8am,CONFIRM
5pm should be okay,CONFIRM
Let's do 10am,CONFIRM
2:30pm is perfect,CONFIRM
12:30pm is perfect,CONFIRM
3:30pm is good,CONFIRM
3pm should be okay,CONFIRM
8am works for me,CONFIRM
12:30pm is fine,CONFIRM
9:30am works for me,CONFIRM
"Yeah, 3pm works",CONFIRM
12pm is okay,CONFIRM
8:30am please,CONFIRM
8:30am is cool,CONFIRM
9am please,CONFIRM
5pm is awesome,CONFIRM
8:30am is awesome,CONFIRM
1:30pm is awesome,CONFIRM
4:30pm should be okay,CONFIRM
3:30pm is awesome,CONFIRM
5pm is good,CONFIRM
8am is good,CONFIRM
11am will work,CONFIRM
1:30pm please,CONFIRM
12pm is perfect,CONFIRM
1pm sounds great,CONFIRM
1:30pm works,CONFIRM
12pm sounds great,CONFIRM
2:30pm works for me,CONFIRM
Let's do 4:30pm,CONFIRM
8:30am sounds great,CONFIRM
I'm good with 8:30am,CONFIRM
10am sounds great,CONFIRM
5pm is good,CONFIRM
"Okay, 12:30pm",CONFIRM
"Yeah, 12:30pm works",CONFIRM
4pm works,CONFIRM
4:30pm will work,CONFIRM
"Yeah, Let's go with 1pm",CONFIRM
4pm sounds great,CONFIRM
"Sure, 4:30pm",CONFIRM
12pm works for me,CONFIRM
8:30am is perfect,CONFIRM
let's do it,CONFIRM
I'm up for that,CONFIRM
Sunds good to me,CONFIRM
good with me,CONFIRM
that's fine with me,CONFIRM
fine with me,CONFIRM
"yep, all good",CONFIRM
yep,CONFIRM
works great for me,CONFIRM
Yeah let's do it,CONFIRM
"Okay, Let's do that then.",CONFIRM
Nice that works,CONFIRM
alright then let's do it,CONFIRM
mmkay sure,CONFIRM
sweet yes,CONFIRM

