text,label
"Hi, Can I please get a refill on Metformin?",RX_REFILL
Let's do a refill on my metformin 500mg at Rite Aid by the mall,RX_REFILL
"Hey, Can I please get a refill on Metformin? at CVS on Main St",RX_REFILL
"Good morning, Let's do a refill on my sertraline 50mg",RX_REFILL
"Good afternoon, I need some more Atorvastatin",RX_REFILL
"Hey, Can I get some more Lisinopril?",RX_REFILL
Let's do a refill on my atorvastatin 20mg at Walgreens on 5th,RX_REFILL
"Hi, Can I get an rx refill please at Rite Aid by the mall Please confirm.",RX_REFILL
I need a refill on my levothyroxine 50mcg at Rite Aid by the mall Appreciate it.,RX_REFILL
I need a refill on my prescription,RX_REFILL
I need a refill on my metformin 500mg at Rite Aid by the mall Appreciate it.,RX_REFILL
"Hi, I need a refill on my prescription at CVS on Main St Please confirm.",RX_REFILL
"Hi, Can I get some more Lisinopril? That's all.",RX_REFILL
Can I get some more Lisinopril? at CVS on Main St That's all.,RX_REFILL
Can I please get a refill on Metformin? at Rite Aid by the mall Thank you.,RX_REFILL
"Good afternoon, Let's do a refill on my atorvastatin 20mg at CVS on Main St",RX_REFILL
I need a refill on my amlodipine 5mg at Walgreens on 5th,RX_REFILL
I need a refill on my amlodipine 5mg,RX_REFILL
"Hi, I need a refill on my levothyroxine 50mcg at Walmart Pharmacy",RX_REFILL
Can I get some more Lisinopril? at Walgreens on 5th,RX_REFILL
"Hello, Let's do a refill on my lisinopril 10mg at CVS on Main St Appreciate it.",RX_REFILL
I need a refill on my amlodipine 5mg Thanks.,RX_REFILL
"Hey, I need a refill on my levothyroxine 50mcg at Rite Aid by the mall Thank you.",RX_REFILL
"Hello, I need a refill on my prescription Thanks.",RX_REFILL
"Hello, I need some more Atorvastatin at Walgreens on 5th",RX_REFILL
Let's do a refill on my amlodipine 5mg Thanks.,RX_REFILL
I need some more Atorvastatin at Target CVS Thank you.,RX_REFILL
"Hey, Let's do a refill on my omeprazole 20mg at Walgreens on 5th",RX_REFILL
"Good morning, I need a refill on my metformin 500mg",RX_REFILL
"Hello, Can I please get a refill on Metformin? at CVS on Main St",RX_REFILL
Let's do a refill on my metformin 500mg Thanks.,RX_REFILL
Let's do a refill on my prescription at CVS on Main St Thanks.,RX_REFILL
Let's do a refill on my lisinopril 10mg at CVS on Main St Please confirm.,RX_REFILL
Can I get an rx refill please at Costco Pharmacy Thanks.,RX_REFILL
"Hey, I need a refill on my lisinopril 10mg at Walgreens on 5th",RX_REFILL
"Good morning, I need some more Atorvastatin That's all.",RX_REFILL
I need some more Atorvastatin Thank you.,RX_REFILL
"Hey, Can I get an rx refill please at Rite Aid by the mall",RX_REFILL
Can I get some more Lisinopril? at Walgreens on 5th Thank you.,RX_REFILL
"Hello, Let's do a refill on my metformin 500mg at Rite Aid by the mall",RX_REFILL
"Good morning, Can I get some more Lisinopril? at Walgreens on 5th Appreciate it.",RX_REFILL
Let's do a refill on my atorvastatin 20mg at Costco Pharmacy,RX_REFILL
"Hello, Can I get an rx refill please at Target CVS Thank you.",RX_REFILL
Can I get some more Lisinopril? at Walgreens on 5th Thanks.,RX_REFILL
"Hey, I need a refill on my prescription That's all.",RX_REFILL
"Good morning, I need a refill on my lisinopril 10mg",RX_REFILL
"Good afternoon, I need some more Atorvastatin at Rite Aid by the mall",RX_REFILL
I need a refill on my omeprazole 20mg at Target CVS,RX_REFILL
I need some more Atorvastatin at CVS on Main St That's all.,RX_REFILL
"Hi, I need a refill on my prescription",RX_REFILL
"Hi, Can I get some more Lisinopril? Thank you.",RX_REFILL
"Good morning, I need a refill on my sertraline 50mg at Costco Pharmacy Appreciate it.",RX_REFILL
Let's do a refill on my amlodipine 5mg,RX_REFILL
"Good morning, Can I get an rx refill please at Rite Aid by the mall",RX_REFILL
Can I get an rx refill please at CVS on Main St Thanks.,RX_REFILL
Can I get an rx refill please at Rite Aid by the mall Appreciate it.,RX_REFILL
I need some more Atorvastatin at Costco Pharmacy That's all.,RX_REFILL
Let's do a refill on my amlodipine 5mg at Walgreens on 5th,RX_REFILL
I need some more Atorvastatin at Rite Aid by the mall,RX_REFILL
I need a refill on my amlodipine 5mg at Rite Aid by the mall,RX_REFILL
I need a refill on my amlodipine 5mg at Rite Aid by the mall Appreciate it.,RX_REFILL
"Hey, Can I get some more Lisinopril? at Walmart Pharmacy",RX_REFILL
