text,label
need to reschedule,APPT_RESCHEDULE
need to reschedule,APPT_RESCHEDULE
can you reschedule now,APPT_RESCHEDULE
please reschedule,APPT_RESCHEDULE
need to reschedule,APPT_RESCHEDULE
can you reschedule asap,APPT_RESCHEDULE
reschedule my appointment for Monday asap,APPT_RESCHEDULE
reschedule my appointment for Monday,APPT_RESCHEDULE
reschedule my appointment for Friday afternoon,APPT_RESCHEDULE
please reschedule,APPT_RESCHEDULE
reschedule me please,APPT_RESCHEDULE
move it to a later time,APPT_RESCHEDULE
reschedule it,APPT_RESCHEDULE
reschedule me please,APPT_RESCHEDULE
can you reschedule today,APPT_RESCHEDULE
reschedule my appointment for tomorrow,APPT_RESCHEDULE
reschedule me please today,APPT_RESCHEDULE
move it to a later time,APPT_RESCHEDULE
change my appointment time please,APPT_RESCHEDULE
can you reschedule,APPT_RESCHEDULE
reschedule it,APPT_RESCHEDULE
can you reschedule please,APPT_RESCHEDULE
reschedule me please,APPT_RESCHEDULE
need to reschedule please,APPT_RESCHEDULE
change my appointment time please,APPT_RESCHEDULE
reschedule me please,APPT_RESCHEDULE
reschedule me please,APPT_RESCHEDULE
reschedule my booking,APPT_RESCHEDULE
shift my appointment to Monday,APPT_RESCHEDULE
reschedule me please,APPT_RESCHEDULE
move it to a later time,APPT_RESCHEDULE
reschedule my appointment for later this month,APPT_RESCHEDULE
shift my appointment to tomorrow,APPT_RESCHEDULE
move it to a later time,APPT_RESCHEDULE
change my appointment time please today,APPT_RESCHEDULE
reschedule it today,APPT_RESCHEDULE
can you reschedule,APPT_RESCHEDULE
reschedule my appointment for tomorrow,APPT_RESCHEDULE
need to reschedule,APPT_RESCHEDULE
reschedule it,APPT_RESCHEDULE
please reschedule,APPT_RESCHEDULE
can you reschedule,APPT_RESCHEDULE
need to reschedule today,APPT_RESCHEDULE
change my appointment time please,APPT_RESCHEDULE
can you reschedule,APPT_RESCHEDULE
move it to a later time,APPT_RESCHEDULE
move it to a later time,APPT_RESCHEDULE
reschedule me please,APPT_RESCHEDULE
reschedule my booking,APPT_RESCHEDULE
please reschedule,APPT_RESCHEDULE
shift my appointment to Friday afternoon,APPT_RESCHEDULE
reschedule it,APPT_RESCHEDULE
reschedule my appointment for tomorrow,APPT_RESCHEDULE
reschedule me please today,APPT_RESCHEDULE
reschedule me please,APPT_RESCHEDULE
change my appointment time please,APPT_RESCHEDULE
reschedule my booking,APPT_RESCHEDULE
reschedule it,APPT_RESCHEDULE
reschedule my appointment for Monday today,APPT_RESCHEDULE
change my appointment time please,APPT_RESCHEDULE
need to reschedule,APPT_RESCHEDULE
reschedule my appointment for tomorrow asap,APPT_RESCHEDULE
need to reschedule,APPT_RESCHEDULE
reschedule me please,APPT_RESCHEDULE
reschedule my appointment for later this month,APPT_RESCHEDULE
move it to a later time,APPT_RESCHEDULE
reschedule my appointment for Friday afternoon,APPT_RESCHEDULE
reschedule my appointment for Monday,APPT_RESCHEDULE
can you reschedule,APPT_RESCHEDULE
reschedule it asap,APPT_RESCHEDULE
can you reschedule,APPT_RESCHEDULE
change my appointment time please,APPT_RESCHEDULE
change my appointment time please,APPT_RESCHEDULE
shift my appointment to next week please,APPT_RESCHEDULE
reschedule my appointment for later this month,APPT_RESCHEDULE
need to reschedule,APPT_RESCHEDULE
reschedule me please,APPT_RESCHEDULE
change my appointment time please today,APPT_RESCHEDULE
reschedule my appointment for tomorrow,APPT_RESCHEDULE
can you reschedule,APPT_RESCHEDULE
can you reschedule,APPT_RESCHEDULE
reschedule it,APPT_RESCHEDULE
please reschedule,APPT_RESCHEDULE
can you reschedule please,APPT_RESCHEDULE
reschedule it,APPT_RESCHEDULE
reschedule it,APPT_RESCHEDULE
