text,label
no incorrect again,REJECT
no,REJECT
no incorrect,REJECT
no false,REJECT
no thank you though,REJECT
nah off,REJECT
no friend,REJECT
nah off,REJECT
no way man,REJECT
nah false info,REJECT
nah incorrect,REJECT
no incorrect again,REJECT
no thank you though,REJECT
no that’s wrong,REJECT
nah nah,REJECT
nah incorrect,REJECT
"nah, not good",REJECT
"no, not at all",REJECT
no bro,REJECT
no incorrect,REJECT
no sir wrong,REJECT
no that’s wrong,REJECT
nah false info,REJECT
nah not true,REJECT
"nah no, sorry",REJECT
no sorry,REJECT
no wrong,REJECT
no that’s false,REJECT
no not happening,REJECT
no you’re wrong,REJECT
no bad,REJECT
false,REJECT
nah not it,REJECT
no this isn’t right,REJECT
no definitely not,REJECT
no incorrect again,REJECT
no i said no,REJECT
"no, man",REJECT
"no, i disagree",REJECT
no incorrect again,REJECT
no not good,REJECT
nah no way,REJECT
nah not really,REJECT
nah not really,REJECT
no thanks though,REJECT
nah no chance,REJECT
no i said no,REJECT
no not accurate,REJECT
no no no,REJECT
nah off,REJECT
no bad result,REJECT
no definitely wrong,REJECT
no wrong again,REJECT
no bad call,REJECT
nah not true,REJECT
no way no,REJECT
"nah, false",REJECT
no sir,REJECT
no way no,REJECT
no false,REJECT
"nah, false",REJECT
no way,REJECT
no not right,REJECT
"no, man",REJECT
nah incorrect,REJECT
no bro not good,REJECT
negative,REJECT
no way,REJECT
nah dude,REJECT
"nah no, sorry",REJECT
no no no,REJECT
nah not happening,REJECT
no not right,REJECT
no incorrect,REJECT
no thanks though,REJECT
nah not happening,REJECT
nah incorrect,REJECT
nah it’s wrong,REJECT
"no, not at all",REJECT
no you’re wrong,REJECT
no false,REJECT
no not happening,REJECT
no sorry,REJECT
no thank you,REJECT
no false,REJECT
no this isn’t right,REJECT
nah false,REJECT
no this isn’t right,REJECT
nah incorrect,REJECT
nah man wrong,REJECT
nope,REJECT
no thank you though,REJECT
nah no way,REJECT
"no, that’s not correct",REJECT
"no, that’s not correct",REJECT
nah it’s wrong,REJECT
no i said no,REJECT
no thanks though,REJECT
no thanks though,REJECT
no sir that's wrong,REJECT
