text,label
"yep, that works",CONFIRM
"yes, that date and time are perfect",CONFIRM
that appointment time works for me,CONFIRM
"yes, that’s the time I want",CONFIRM
"yes, don’t change it",CONFIRM
"yep, that works",CONFIRM
yeah 4pm is perfect,CONFIRM
"yes, that date and time are perfect",CONFIRM
"right, let’s lock that in",CONFIRM
"keep it there, 930 works",CONFIRM
yes that’s accurate,CONFIRM
"that’s fine, let’s keep it at 930",CONFIRM
"exactly, 11am is what I want",CONFIRM
that appointment time works for me,CONFIRM
I’m good with that time,CONFIRM
"yeah that works, don’t change it",CONFIRM
"keep it there, 1130 works",CONFIRM
"yep, we’re good with that",CONFIRM
"I agree, 4pm is fine",CONFIRM
"yes, keep it at 1030",CONFIRM
"okay, that works for me",CONFIRM
"yeah, let’s do that",CONFIRM
"sure, 4pm is okay with me",CONFIRM
"okay, that works for me",CONFIRM
"right, let’s lock that in",CONFIRM
"yeah, let’s do that",CONFIRM
"sounds good, 1pm is fine",CONFIRM
"I agree, 12pm is fine",CONFIRM
"that’s fine, let’s keep it at 8am",CONFIRM
that appointment time works for me,CONFIRM
"yes, that’s the time I want",CONFIRM
"exactly, 1030 is what I want",CONFIRM
"430 works, thank you",CONFIRM
"okay, that works for me",CONFIRM
"yes, that date and time are perfect",CONFIRM
"that’s fine, let’s keep it at 130",CONFIRM
yep sounds good,CONFIRM
"yup, that’s the right one",CONFIRM
"that’s exactly right, 8:30am is good",CONFIRM
"yes, keep it at 4pm",CONFIRM
"perfect, keep it as is",CONFIRM
"yes, next Monday at 3pm is good",CONFIRM
"that’s good, I confirm it",CONFIRM
that appointment time works for me,CONFIRM
"yep, we’re good with that",CONFIRM
"I agree, 11am is fine",CONFIRM
yeah 9am is perfect,CONFIRM
"yeah, let’s do that",CONFIRM
"right, 8:30am works great",CONFIRM
"yup, that’s the right one",CONFIRM
"yup, that’s the right one",CONFIRM
"right, 430 works great",CONFIRM
yep sounds good,CONFIRM
"yep, that works",CONFIRM
"yes, this coming Wednesday at 5pm is good",CONFIRM
"yeah, let’s stick with that time",CONFIRM
"yes, that time works for me",CONFIRM
"correct, I want that appointment",CONFIRM
"yes, don’t change it",CONFIRM
"perfect, keep it as is",CONFIRM
"yes, don’t change it",CONFIRM
yeah 8am is perfect,CONFIRM
I approve that time,CONFIRM
"I agree, 5pm is fine",CONFIRM
"I agree, 1pm is fine",CONFIRM
"yeah, let’s stick with that time",CONFIRM
"4pm works, thank you",CONFIRM
"330 works, thank you",CONFIRM
"sure, let’s keep it there",CONFIRM
"yes, that time works for me",CONFIRM
"yeah that works, don’t change it",CONFIRM
"yep, that works",CONFIRM
I approve that time,CONFIRM
"yeah, let’s stick with that time",CONFIRM
"sounds good, 10am is fine",CONFIRM
"that’s good, I confirm it",CONFIRM
"yes please, that time is perfect",CONFIRM
"sure, 5:00 PM is okay with me",CONFIRM
"yes, that time works for me",CONFIRM
"yes, next Monday at 1pm is good",CONFIRM
"yes, that date and time are perfect",CONFIRM
"exactly, 5pm is what I want",CONFIRM
"sounds good, 1230 is fine",CONFIRM
"keep it there, 430 works",CONFIRM
yeah 230 is perfect,CONFIRM
I approve that time,CONFIRM
"uh-huh, that’s exactly what I wanted",CONFIRM
"that’s exactly right, 8am is good",CONFIRM
"right, let’s lock that in",CONFIRM
"that’s fine, let’s keep it at 430",CONFIRM
"perfect, keep it as is",CONFIRM
"perfect, keep it as is",CONFIRM
yeah 10am is perfect,CONFIRM
"sure, let’s keep it there",CONFIRM
"yeah that works, don’t change it",CONFIRM
I’m good with that time,CONFIRM
"that’s exactly right, 1030 is good",CONFIRM
"right, 11am works great",CONFIRM
"keep it there, 11am works",CONFIRM
"yes, that date and time are perfect",CONFIRM
yeah 3pm is perfect,CONFIRM
"yes, keep it at 930",CONFIRM
"keep it there, 1030 works",CONFIRM
"that’s fine, let’s keep it at 9am",CONFIRM
"sure, 2pm is okay with me",CONFIRM
yes confirm that time,CONFIRM
"4pm works, thank you",CONFIRM
"yes, that date and time are perfect",CONFIRM
"yes, keep it at 5:00 PM",CONFIRM
"yeah, let’s do that",CONFIRM
"sure, 12pm is okay with me",CONFIRM
"yep, that works",CONFIRM
"yeah, let’s stick with that time",CONFIRM
"yup, that’s the right one",CONFIRM
"yes, that time works for me",CONFIRM
yes confirm that time,CONFIRM
"430 works, thank you",CONFIRM
"right, let’s lock that in",CONFIRM
"yes, that’s perfect",CONFIRM
"that’s good, I confirm it",CONFIRM
yep sounds good,CONFIRM
"yup, that’s the right one",CONFIRM
"uh-huh, that’s exactly what I wanted",CONFIRM
"right, 1pm works great",CONFIRM
"right, 2pm works great",CONFIRM
"yes, keep it at 2pm",CONFIRM
yes that’s accurate,CONFIRM
"right, 4pm works great",CONFIRM
I’m good with that time,CONFIRM
that appointment time works for me,CONFIRM
"exactly, 2pm is what I want",CONFIRM
"right, let’s lock that in",CONFIRM
"that’s good, I confirm it",CONFIRM
"yeah that works, don’t change it",CONFIRM
"yes, stick with 5:00 PM",CONFIRM
"yes, that date and time are perfect",CONFIRM
yeah 830 is perfect,CONFIRM
"yeah that works, don’t change it",CONFIRM
"230 works, thank you",CONFIRM
"sure, let’s keep it there",CONFIRM
"that’s exactly right, 930 is good",CONFIRM
"keep it there, 830 works",CONFIRM
"correct, I want that appointment",CONFIRM
"yup, that’s the right one",CONFIRM
I approve that time,CONFIRM
"that’s exactly right, 8:30am is good",CONFIRM
"keep it there, 1pm works",CONFIRM
"yeah, let’s do that",CONFIRM
"yes, that fits my schedule",CONFIRM
"yeah that works, don’t change it",CONFIRM
