text,label
yeah Ye...,CONFIRM
yep yup that’s right.,CONFIRM
well sounds awesome...,CONFIRM
hmm Ye,CONFIRM
hmm yes i agree!,CONFIRM
yeah exactly.,CONFIRM
hmm Yes...,CONFIRM
"yep amazing, lets do it please",CONFIRM
uh sounds good to me please,CONFIRM
"yep amazing, lets do it",CONFIRM
ok you got it please,CONFIRM
"hmm absolutely amazing, yes that is the right date...",CONFIRM
ok sure thing thanks,CONFIRM
"yeah cool, yeah",CONFIRM
"ah beautiful, thank you...",CONFIRM
yeah exactly please,CONFIRM
"awesome, correct thanks",CONFIRM
yes i agree please,CONFIRM
ok works fine for me,CONFIRM
yup correct!,CONFIRM
ah you nailed it thank you,CONFIRM
yeah Ye!,CONFIRM
ah Yes thanks,CONFIRM
ah sounds perfect!.,CONFIRM
"uh sounds excellent, thank you",CONFIRM
uh yep! you got it right for sure.,CONFIRM
ah yep! you got it right for sure!,CONFIRM
yeah awesome yes thank you,CONFIRM
well that will do...,CONFIRM
uh works perfectly thanks,CONFIRM
uh sounds perfect! thank you,CONFIRM
ok looks good.,CONFIRM
yeah yes please.,CONFIRM
well looks good please,CONFIRM
ah yep! you got it right for sure.,CONFIRM
uh Ye please,CONFIRM
ah yep thanks,CONFIRM
that will do thanks,CONFIRM
sounds awesome...,CONFIRM
yeah yeah that works perfectly thank you,CONFIRM
ok yuh!,CONFIRM
"yeah awesome, correct!",CONFIRM
uh yeah that works perfectly!,CONFIRM
yep yes thanks that works...,CONFIRM
"cool, yeah thanks",CONFIRM
well good one yes...,CONFIRM
uh yes i agree.,CONFIRM
"ok awesome, correct thank you",CONFIRM
well for sure yes thanks,CONFIRM
uh yes please thanks,CONFIRM
Ye thank you,CONFIRM
yeah looks good.,CONFIRM
uh nice! thats correct!,CONFIRM
uh awesome yes please,CONFIRM
"yeah absolutely amazing, yes that is the right date.",CONFIRM
"hmm absolutely amazing, yes that is the right date",CONFIRM
yep nice! thats correct!,CONFIRM
yep sure thing please,CONFIRM
yep yes indeed!,CONFIRM
yeah sounds good to me,CONFIRM
"ah amazing, lets do it!",CONFIRM
ah of course...,CONFIRM
works fine for me.,CONFIRM
hmm exactly thank you,CONFIRM
"yeah great, yes, thank you!...",CONFIRM
hmm yes please please,CONFIRM
ah yes indeed,CONFIRM
"well brilliant, thats correct please",CONFIRM
"well thank you, that is correct thanks",CONFIRM
hmm works perfectly please,CONFIRM
ah sounds awesome thanks,CONFIRM
"yeah looks good, see you then! thanks",CONFIRM
"uh great job, yes please",CONFIRM
uh yes thanks that works please,CONFIRM
ah sounds good to me!,CONFIRM
"ah absolutely amazing, yes that is the right date!",CONFIRM
yep yes definitely thanks,CONFIRM
"ah looks good, see you then!!",CONFIRM
uh sounds awesome!!,CONFIRM
hmm yep yep please,CONFIRM
yep Ye!,CONFIRM
uh sounds good to me.,CONFIRM
"yeah awesome, correct...",CONFIRM
yeah yes i agree,CONFIRM
ah yep thank you,CONFIRM
ok sounds awesome! thank you,CONFIRM
hmm awesome yes,CONFIRM
yep yup correct please,CONFIRM
yep! you got it right for sure...,CONFIRM
ah sure thing please,CONFIRM
yeah yep yep...,CONFIRM
you nailed it,CONFIRM
hmm nice! thats correct,CONFIRM
yeah sounds perfect!.,CONFIRM
uh works perfectly.,CONFIRM
ok Yes please,CONFIRM
yes thanks that works,CONFIRM
ah sure thank you,CONFIRM
"beautiful, thank you.",CONFIRM
ok works perfectly thank you,CONFIRM
"hmm looks good, see you then!...",CONFIRM
ok looks correct to me bro thanks,CONFIRM
hmm ya...,CONFIRM
"well sounds excellent, thank you please",CONFIRM
"looks good, see you then! thank you",CONFIRM
"well looks good, see you then!!",CONFIRM
ok looks great to me thank you,CONFIRM
yep yep yep!,CONFIRM
